Source,URL,Mise à jour,Catégorie,Question,Réponse,,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Le virus,Qu’est-ce que le coronavirus COVID-19 ?,"Les coronavirus sont une famille de virus, qui provoquent des maladies allant d’un simple rhume (certains virus saisonniers sont des coronavirus) à des pathologies plus sévères comme le MERS-CoV ou le SRAS. 
Le virus identifié en janvier 2020 en Chine est un nouveau coronavirus, nommé SARS-CoV-2. La maladie provoquée par ce coronavirus a été nommée COVID-19 par l’Organisation mondiale de la Santé - OMS. Depuis le 11 mars 2020, l’OMS qualifie la situation mondiale du COVID-19 de pandémie ; c’est-à-dire que l’épidémie est désormais mondiale.",,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Le virus,D’où vient le coronavirus COVID-19 ? ,Les premières personnes à avoir contracté le virus s’étaient rendues au marché de Wuhan dans la Province de Hubei en Chine. La maladie semblerait donc venir d’un animal (zoonose) mais l’origine n’a pas été confirmée.,,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Le virus,Quel est la dangerosité du coronavirus ?,"Le coronavirus est dangereux pour trois raisons :
-	Il est tres contagieux : chaque personne infectée va contaminer au moins 3 personnes en l'absence de mesures de protection.
-	Il est contagieux avant d’être symptomatique, c’est à dire qu’une personne contaminée, qui ne ressent pas de symptômes peut contaminer d’autres personnes.
-	Environ 15% des cas constatés entraînent des complications et 5% de ces dernières nécessitent une hospitalisation en réanimation.",,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Le virus,Quels sont les symptômes du coronavirus COVID-19 ?,"Les symptômes principaux sont la fièvre ou la sensation de fièvre.
La perte brutale de l’odorat, sans obstruction nasale et disparition totale du goût sont également des symptômes qui ont été observés chez les malades. 
Chez les personnes développant des formes plus graves, on retrouve des difficultés respiratoires, pouvant mener jusqu’à une hospitalisation en réanimation et au décès. ",,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Le virus,Comment expliquer que certains meurent du virus quand d’autres sont contaminés mais n’ont aucun symptôme ?,L’infection au coronavirus n’a pas les mêmes conséquences chez tous les individus. Nos corps, selon notre immunité, notre âge, nos pathologies associées, ne réagissent pas tous de la même manière au virus. Les plus fragiles sont considérées “personnes à risques”, et il existe des recommandations spécifiques de prise en charge dans ces situations.,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Le virus,L'allergie est-elle un facteur de risque ? Comment différencier ses symptômes de ceux du COVID-19 ?,Les symptômes secondaires à des allergies respiratoires peuvent selon les situations ressembler au COVID-19, notamment la toux et les difficultés respiratoires lors des crises d’asthme. Cependant, on ne trouve ni fièvre, ni courbatures dans les allergies. De plus, dans le cas des crises d’asthme, celle-ci sont le plus souvent de brève durée, variables et réversibles. L’insuffisance respiratoire liée au COVID-19 est quant à elle de plus longue durée. En cas de doute sur vos symptômes, consultez un médecin (en privilégiant la téléconsultation) ou visitez le site https://maladiecoronavirus.fr/ (algorithme d’aide à l’orientation).,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Le virus,Je suis allergique aux pollens, dois-je prendre mes traitements habituels (inhalateur et comprimés) ?,Oui, il n’existe aucun risque associé aux traitements antiallergiques. Les corticoïdes prescrits dans le cadre des allergies le sont à faible dose. En cas de doute sur vos traitements pendant l’épidémie de COVID-19, demandez conseil à votre médecin ou consultez le site https://www.covid19-medicaments.com (réalisé avec le Réseau Français des Centres Régionaux de Pharmacovigilance).,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Le virus,Quel est le délai d’incubation de la maladie ?,Le délai d’incubation est la période entre la contamination et l’apparition des premiers symptômes. Le délai d’incubation du coronavirus COVID-19 est de 3 à 5 jours en général, il peut toutefois s’étendre jusqu’à 14 jours. Pendant cette période, le sujet peut être contagieux : il peut être porteur du virus avant l’apparition des symptômes ou à l’apparition de signaux faibles.,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Le virus,Quelles catégories de la population sont les plus touchées ?,"Le virus touche toutes les classes d'âges, y compris les plus jeunes, chez qui on constate aussi des complications ou des formes graves. La médiane des personnes hospitalisées en réanimation est de 58 ans (ce qui signifie que la moitié des patients hospitalisés en réanimation ont moins de 58 ans et que l'autre moitié a plus de 58 ans).
L'infection à COVID-19 entraine des décès surtout chez les personnes âgées et les plus fragiles. 
-	Les + de 60 ans représentent 96% des décès.
-	Les + de 70 ans représentent 86% des décès.
-	Les + de 80 ans représentent 62% des décès.",,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Le virus,Le virus a-t-il muté ? ,"À ce jour il n’existe pas d’arguments scientifiques suffisamment robustes en cette faveur. Les travaux de recherche se poursuivent aujourd’hui pour mieux connaître le virus.
Il convient de rappeler que la grande majorité des mutations des virus sont neutres, et le reste plus souvent bénéfiques pour l’Homme que l’inverse. En effet, dans la majorité des épidémies, les virus évoluent vers moins de dangerosité mais plus de diffusion.",,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Le virus,Y aura t-il une seconde vague de virus qui touchera les plus jeunes ? ,Les mesures annoncées par le Président de la République ont pour objectif freiner la progression de l’épidémie. Dès lors, la vitesse de propagation du virus se ralentit et permet de limiter le nombre de personnes atteintes en même temps par le virus. Dans cette stratégie, le type de personnes atteintes par le virus, et la répartition des cas simples, notamment en fonction de l’âge ou de l’existence de plusieurs maladies n’est pas modifié. Les études internationales nous montrent que si les personnes fragiles sont les plus à risque de développer une forme grave d’infection au coronavirus, l’ensemble de la population peut également être concernée. La notion de seconde vague évoquée par le Président de la République se fonde sur les observations scientifiques montrant que les sujets jeunes, au début de leur contamination, présentent des symptômes peu graves, mais qu’après environ une semaine d’évolution, certains présentent des atteintes plus sévères, nécessitant de possibles hospitalisations.,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Le virus,Après avoir guéri du coronavirus, est-on immunisé ou est-il possible de tomber malade une deuxième fois ?,Après avoir rencontré un virus, notre organisme développe des défenses immunitaires appelées anticorps, lui permettant de se défendre contre ce virus. Bien que nous soyons encore à un stade précoce pour se prononcer sur cette question, de l’avis des scientifiques les premières données semblent rassurantes, car ce jour, aucun cas réellement confirmé de re-contamination ne semble avoir eu lieu.,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Transmission,Comment se transmet le coronavirus COVID-19 ?,"La maladie se transmet par les gouttelettes (sécrétions projetées invisibles lors d’une discussion, d’éternuements ou de la toux). On considère donc qu’un contact étroit avec une personne malade est nécessaire pour transmettre la maladie : même lieu de vie, contact direct à moins d’un mètre lors d’une discussion, d’une toux, d’un éternuement ou en l’absence de mesures de protection. 
Un des autres vecteurs privilégiés de la transmission du virus est le contact des mains non lavées souillées par des gouttelettes.
C’est donc pourquoi les gestes barrières et les mesures de distanciation sociale sont indispensables pour se protéger de la maladie.",,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Transmission,Peut-on être en contact d’un malade sans être contaminé ?,Le risque est toujours présent, et plus le contact est long et rapproché, plus le risque de contamination augmente (plus de 15 minutes, à moins d’un mètre). C’est la raison pour laquelle la distanciation sociale et les mesures barrières doivent être appliquées. Il est donc possible de vivre avec un cas COVID-19 à domicile si l’on respecte scrupuleusement les gestes barrières.,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Transmission,Le virus circule-t-il dans l’air ?,"Non, il ne peut pas vivre dans l’air tout seul. Le coronavirus responsable du COVID-19 se transmet par les gouttelettes, qui sont les sécrétions respiratoires qu’on émet quand on tousse, qu’on éternue ou qu’on parle.
Le virus est transporté par les gouttelettes, il ne circule pas dans l’air tout seul, mais peut atteindre une personne à proximité (<1 mètre) ou se fixer sur une surface souillée par les gouttelettes, comme les mains ou les mouchoirs. C’est pour cela qu’il est important de respecter les gestes barrières et les mesures de distanciation sociale.",,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Transmission,Quel est le risque de contamination par les surfaces ? Faut-il tout nettoyer ?,"Selon les dernières publications scientifiques, le virus peut, dans des conditions propices, survivre sous forme de traces plusieurs heures à plusieurs jours sur une surface contaminée par des gouttelettes. Toutefois, ces études ont évalué la présence de matériel génétique, et non pas de virus vivant. De l’avis des experts, la charge virale du virus diminue très rapidement dans le milieu extérieur, et enquelques minutes, celui-ci n’est plus contaminant. 
Ainsi, ce n’est pas parce que du virus persiste que cela est suffisant pour contaminer une personne qui toucherait cette surface. La grande transmissibilité du coronavirus COVID-19 n’est pas liée à sa survie sur les surfaces, mais à sa transmission quand on tousse, qu’on éternue, qu’on discute ou par les gouttelettes expulsées et transmises par les mains . 
Toutefois, par principe de précaution, il peut être utile de nettoyer les surfaces fréquemment et récemment touchées par les mains d’autres personnes, notamment quand elles sont visiblement souillées . 
Il n’est cependant pas utile de désinfecter le sol, les murs, les produits achetés au supermarché ou le courrier car ce sont des surfaces passant peu de mains en mains . 
Quand on sort de son foyer, et qu’on touche certaines surfaces fréquemment manipulées par d’autres (boutons, caddies de supermarché), il faut avant tout éviter de se toucher le visage et bien se laver les mains de retour à domicile . 
Quand on sort à l’extérieur, c’est le respect des gestes barrières et des mesures dedistanciation sociale qui permet de se protéger efficacement du virus.",,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Transmission,Combien de temps le COVID-19 peut-il vivre sur une surface ?,Dans des conditions propices à sa survie, le virus pourrait survivre, sous forme de traces, plusieurs jours sur une surface. Toutefois, ce n’est pas parce qu’un peu de virus survit que cela est suffisant pour contaminer une personne qui toucherait cette surface. En effet, au bout de quelques heures, la grande majorité du virus meurt et n’est probablement plus contagieux. Pour rappel, la grande transmissibilité du coronavirus COVID-19 n’est pas liée à sa survie sur les surfaces, mais à sa transmission quand on tousse, qu’on éternue , qu’on discute ou par les gouttelettes expulsées et transmises par les mains. C’est pour cela qu’il est important de respecter les gestes barrières et les mesures de distanciation sociale.,,,,,,,,,,
